Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,TSS/MV,TCS/MV,TPF/MV,MV/MV,CSL/MV,CSLM/MV,CSUM/MV,CSH/MV,PL/MV,PLM/MV,PUM/MV,PH/MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:41,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e11.dat,1,0,Low,16957167876,16661293729,295874146.4,33623599656,1953631985,4820141762,4794877917,5092642065,404899464.7,683109604,775708491.4,358494432.4,0.504323393,0.495523796,0.008799598,1,0.058102999,0.143355911,0.142604539,0.151460347,0.012042121,0.020316373,0.023070358,0.010661988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:41,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e11.dat,1,0,High,16957167876,-5138051.2,16962305927,33623599656,-5138051.2,0,0,0,2363669501,5503251366,5570586409,5451136498,0.504323393,-0.000152811,0.504476204,1,-0.000152811,0,0,0,0.070297931,0.163672284,0.165674897,0.162122335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:41,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e11.dat,1,0,Average,16957167876,7346019874,8881883315,33623599656,713496749.4,2120493947,2164114663,2347914516,1324609830,3801144656,3226782321,2949014779,0.504323393,0.218478091,0.26415623,1,0.021220118,0.063065643,0.064362968,0.069829362,0.039395242,0.113049902,0.095967783,0.087706694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:49,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e12.dat,1,0,Low,16927088084,16676779449,250308634.9,33614478546,1769774481,4748049567,4812478313,5346477088,348869533.1,883884600.3,707705786,236186561.6,0.503565393,0.49611894,0.007446453,1,0.052649173,0.141250133,0.143166829,0.159052805,0.01037855,0.026294759,0.0210536,0.007026334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:49,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e12.dat,1,0,High,16927088084,-10611012.71,16937699097,33614478546,-10611012.71,0,0,0,2129255027,5631934168,5520184099,5582663649,0.503565393,-0.000315668,0.50388106,1,-0.000315668,0,0,0,0.06334339,0.167544892,0.164220429,0.166079139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:49,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e12.dat,1,0,Average,16927088084,7415296162,8794533310,33614478546,627029263.5,2286262433,2050655392,2451349073,1380107256,3550706364,3251507450,2890928961,0.503565393,0.22059828,0.261629324,1,0.018653547,0.068014217,0.061005123,0.072925393,0.041056929,0.105630268,0.096729373,0.086002493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:58,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e13.dat,1,0,Low,16949231164,16669891650,279339514.2,33629487645,1624594570,5212676433,4605090753,5227529894,278791478.7,769885169.1,859630103.7,297370608.9,0.50399909,0.495692704,0.008306386,1,0.048308633,0.155003147,0.136936096,0.155444827,0.00829009,0.022893158,0.025561796,0.008842555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:58,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e13.dat,1,0,High,16949231164,-10364831.6,16959595995,33629487645,-10364831.6,0,0,0,1913750880,5982561602,5464720856,5524900503,0.50399909,-0.000308207,0.504307296,1,-0.000308207,0,0,0,0.056906929,0.177896305,0.162497892,0.164287383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:58,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e13.dat,1,0,Average,16949231164,7502859955,8872046000,33629487645,753382763,2208402076,2093398927,2447676189,1277068343,3609240839,3246841451,2864914575,0.50399909,0.223103606,0.26381746,1,0.022402445,0.065668621,0.062248909,0.07278363,0.03797466,0.107323694,0.096547455,0.085190551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:15:07,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e14.dat,1,0,Low,16985056238,16719669852,265386385.8,33714795993,2023740679,4593408431,4783018793,5319501950,421252626.5,628080317.6,699008941.5,302430796.7,0.503786416,0.495914905,0.007871511,1,0.060025298,0.136243103,0.141867054,0.157779449,0.012494592,0.018629219,0.020733002,0.008970269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
